Delta,Theta,Alpha,Beta,Gamma,Emotion
19.92622479547662,6.904697760106788,26.835531604935127,6.441785914630723,5.6362376524049855,Sad
12.957321394460852,5.036167990284675,22.73651965253896,9.278233148233351,4.229692411941612,Happy
16.21267152738707,12.422077073748845,4.790640421391621,8.648201998172361,5.817203020597449,Tired
19.52949873813579,10.257771853680397,22.282019163109425,12.700089105108841,5.104351022867208,Tired
19.27695212306732,14.338015431731202,29.741357348371846,18.799963577784606,4.463908955272003,Happy
5.80697762182045,5.069489613092062,18.76775335707096,12.103269782008098,9.090487194864778,Happy
15.906975456873063,2.2501768947947687,22.223280335769992,11.43256452372231,3.183647065761817,Sad
14.66019987417812,13.66933407489043,19.136429046921492,21.43452433339241,6.808362912635463,Happy
7.285329479598527,8.38187398784713,26.72683181381461,9.526123532906077,1.1848424836004197,Angry
8.186007685857348,9.788624135679731,11.111937740847761,24.974109896107468,0.7708447523675542,Sad
8.44166424752706,13.285189353576301,24.27067437544162,13.237840299903,1.7254544297324679,Tired
4.1384553713108785,5.165246919578452,17.848993154363697,7.5274568601900995,5.70282145707424,Angry
1.1450195770540956,6.927353486952947,17.52125333852938,19.295015158593912,9.313034934337393,Happy
11.86427503747724,4.434854765325847,29.04068392997474,9.782196512712673,4.792366651617224,Angry
19.80953082544738,13.106645487965647,12.773049867090114,3.8968773004822346,9.364562885506533,Angry
6.356631343608262,9.466866481590548,16.33736097692386,17.4965361390884,9.415742782086584,Tired
10.529382820498473,11.23988636802414,29.43417036467074,22.030980968231,9.532176970419503,Sad
16.935570907075284,1.1562090575286696,3.1601925113047757,16.493426079483292,8.32150137877728,Sad
3.30077235706673,11.00246222333864,26.318819587436558,17.77710929114373,1.543355345605999,Angry
3.724704967453975,14.956680043295702,4.662879025541801,17.044730998294586,0.5337075712039329,Angry
14.986656694323893,5.985750604207688,13.915018216764269,9.714365730994004,6.134954640381516,Tired
19.286609221158542,5.4743830667678175,23.846821108543697,23.076397234301798,7.835359539326824,Angry
12.030669531435768,4.8448573739023155,17.20474930260778,16.621373768573314,4.991004585736723,Sad
1.5229180786240537,13.010567378095308,12.122556524405052,9.092182871419313,5.623823691486912,Tired
7.708978264191047,13.236050927019594,21.852249706018192,20.266342802315087,9.65707156282641,Sad
7.3058298029506465,7.981661355203711,18.081534353590346,24.812152260176724,9.598871918566655,Angry
18.417935527303403,6.284977538181073,19.23439874453767,8.92429619260266,5.216583959475759,Tired
19.5761439056389,2.694157865938986,5.316629321675776,2.3323587334436064,7.192751695312835,Sad
5.361176507559964,12.089552509506763,27.103562166274642,16.836778240589318,6.562433836185775,Sad
2.970042560352933,10.620876266573136,9.153528372404402,9.06858488644046,8.876141621507385,Tired
10.77948157567919,13.709290443350719,1.6511580806854098,4.441002413676489,7.464728800748482,Tired
3.377349412917976,2.3278744893912027,7.96322834528907,17.84518116526387,8.42448873715498,Happy
0.5943535135073773,5.26649234565579,11.47146542966088,3.4377062651785986,2.537363242775416,Angry
19.75263522156226,2.2102927471303078,1.7617749885712919,13.27659414218841,3.74885981989159,Angry
2.2036052605326244,2.351041225444016,29.135559491710605,11.634178349926795,2.979329450921957,Happy
0.9262067211248194,13.561712039695225,5.657959663887695,7.301513156567111,6.782504480791645,Tired
12.677770382067866,13.851347728799652,27.068305523953732,2.130250427956522,8.568164454308027,Happy
14.027018458645818,5.479028143667776,23.36408227498333,16.74366874263732,0.2662380902238337,Tired
18.7123458845102,11.12442948260401,4.556922798158591,2.0116612420573565,2.059304515518585,Sad
17.75073227604435,1.3282021894359435,12.678795753537417,14.558203929555603,2.3066957132837667,Tired
8.190193238830387,5.193235788516046,25.783740291500134,14.679649765632487,3.390529337735748,Sad
19.639550628195874,10.13715478838008,25.210903188907054,9.60708934839461,8.235908944215646,Sad
7.38917315853299,11.48824963122349,10.438217418270252,7.736935657825223,9.036352022345215,Sad
4.64379717432838,2.574515617723331,6.276339077034542,17.429606429978847,7.263036262786687,Happy
10.759031519395222,13.746103841058055,5.1337601974493525,13.481332722431171,6.866639920444808,Happy
2.541464597838471,13.279602949878253,1.4809927930365518,2.2781677355746037,4.8635119716993325,Happy
15.131128907656697,3.88348383065417,7.025239450696929,11.541731904700072,6.934886847315654,Angry
9.522211619766026,1.7534892636268158,11.993097542342287,21.472045983274597,1.2285915173431716,Angry
16.400486338635034,8.73823751697202,16.486528607331785,11.362892764458149,9.835082847778757,Sad
13.661524914376761,6.049831029170465,23.604041266390528,9.530236535997291,7.4685976832538215,Happy
13.680387557062549,10.406243395327502,5.608604403320082,16.984569257299647,5.363569390942476,Happy
7.917670985573435,4.542995191893607,11.399982618549085,2.3035182131959404,2.498777667473079,Sad
13.458741997498864,3.277403774063832,16.237956482729075,3.8386927459252975,3.8092566652695843,Angry
4.701043739906624,14.32817070623743,9.44979674085908,4.221301184769459,3.514435583229208,Angry
10.665723278800979,5.673278515501793,8.21124368980514,3.241811489724353,2.6271514993487024,Angry
4.55675698825066,2.992667688964283,6.997279875648149,11.770670220141593,7.245646081520453,Sad
4.538966451474618,3.5372506613666697,10.893456343761489,21.218067236062133,1.1412845528327815,Tired
3.7076438640104183,10.404052576968352,18.656814291851944,14.49021452304299,8.467596036713074,Angry
15.987555713305586,14.064589192612273,14.97248677590733,11.0617851201822,7.832941317404434,Tired
15.654632333204708,7.029659555136738,15.156136959864503,5.609508595353712,2.189390255094561,Happy
19.435716946737358,13.296473176988387,27.864272827786035,9.039754903124239,9.671083721556082,Happy
9.231383266979499,3.6075017959924147,11.051613348834007,21.056968873369772,2.7291496771200916,Sad
9.35395703387742,3.5701283523539287,23.430878920907965,23.16577501816626,2.6711905267935183,Angry
11.349705174728431,9.021119668105163,23.775018776335383,18.101886874019083,9.241998929676626,Sad
13.61359109539885,5.038965051313541,29.21033141720397,8.42161927916592,8.458894070289087,Happy
16.978508260472438,12.128060665910528,7.939819407608245,17.361798275929807,8.810198627135756,Angry
6.348450182334817,0.9083489474445132,15.93559994701483,4.659221927337478,2.912901206297624,Sad
2.282130256445886,8.126615920515242,22.02079977311854,23.208942320127708,5.012857095194592,Happy
19.85318894614225,6.237278746961151,27.579198778825393,7.26396377734104,6.7365249745943006,Angry
19.895313668102368,5.858859259016343,9.466126920265124,13.522432605540013,0.7777835396654249,Happy
8.335675278103261,14.38210733054171,15.743900600157106,23.812726869370636,5.029367196359197,Angry
9.818029821019211,6.589842022340253,9.152310002736947,22.766070986581042,5.133071802234235,Happy
1.0569187726279252,12.187873789501143,18.620141612830356,20.98383575590025,8.008179020861288,Sad
13.905395937878627,11.222440818401928,5.2800816244831985,2.749602407161011,0.47564558990407524,Tired
12.27996316309945,14.143894974110067,17.731737913758206,4.825680355739547,6.677897179856632,Sad
0.6643142987320767,6.621030717684915,21.651579488130654,1.9188559249384323,7.890037349920752,Happy
6.309981129579867,11.74093986761397,2.9327733198269623,7.7446421979145645,1.2554452774932885,Happy
5.955377707741922,9.374461591080477,3.6588855664441926,6.021803316251878,2.7046970513342723,Happy
18.496103594798612,13.21552007588568,26.922142636466734,2.403346860718589,9.60902850129858,Angry
3.269595558352369,7.472902543456064,27.581665910510104,19.582791660137953,2.054914112792781,Sad
5.778466863105427,14.241596287667628,15.574012127761385,16.63000508916167,2.3088574574081258,Angry
3.059866693682138,9.376956783671174,24.539681012857137,2.5583246459565645,6.416973813935575,Happy
12.036977197898775,5.2033545440895645,28.179406663743027,20.45892131074138,1.0282551401398126,Angry
6.218031072158107,4.992777910103919,4.013874581694058,14.228475336982669,4.52634870666443,Angry
7.961542946897547,10.46422391122041,13.710717284447062,12.332112126612628,4.66014364716341,Sad
17.17283494168228,10.100588289368263,16.7487980160397,8.477058084195466,1.2177406126878592,Happy
7.40374068952811,10.534356694422359,4.886795836832694,23.958205242960183,4.941765292006588,Sad
7.71641769608786,11.638185852181735,1.2779148101199636,18.761183023385698,9.72879066383508,Happy
3.1363270506053755,9.1552209644887,5.01968199360932,8.166933359695498,1.764989498003713,Happy
15.300437754114375,8.29629065240618,17.534717630441325,22.317076718810487,3.631015911411778,Angry
17.99365428191567,14.41152987364535,29.677144784606188,6.930348617964008,5.609513140224302,Sad
12.383250491548676,6.776742181241577,8.22193101336063,14.868156528576947,0.8172598385408825,Happy
6.127394769782622,6.692670646394366,2.825832201876122,21.495976357524924,4.272685460428953,Angry
3.9854744270811135,8.212167738957302,15.50733747263199,10.684035258051779,9.184665293671506,Angry
14.08092354301494,9.135467092569105,25.078774176805638,10.569060553619192,5.372892817931604,Happy
5.2527041723586745,13.900052821956628,21.892880527199257,20.49101575005509,7.405258541744057,Tired
19.248699964501796,7.58748313865905,27.564541301952413,14.24254454664947,3.694554020548301,Happy
14.230361574903485,13.003681952470469,11.893399168373545,3.9993647133189576,1.5762362125523102,Sad
9.202695632954354,6.445241961084919,19.24910328722745,10.397729436967275,8.40643863087222,Angry
5.402614685400155,5.212520653694917,24.12268679685097,15.108754964108769,4.918372299021965,Happy
11.317620718317476,3.321219955345777,3.2574138953284066,11.29606466431354,4.4805498684362135,Angry
6.692600757783733,7.1115541136838765,28.435164052107414,12.168198963413747,2.3180601914538475,Sad
16.327406350032696,8.064821251854806,8.80940989285676,14.048461080226446,6.488013806339512,Happy
14.150417859885701,10.292296599338723,26.622727403374256,18.90297805655452,7.135771194564921,Sad
14.29316648369256,10.18369580385213,17.647522579424166,3.9605099589721613,4.867183406812397,Angry
17.98565849809437,3.291242670544529,13.87120454160566,1.5372295754836482,6.828358307880244,Tired
17.29675060506431,12.431218907111715,23.66322487469808,16.00904936037265,7.591239992070681,Happy
4.6469662271672965,14.060089995276963,16.533515892987893,3.1555199979802095,7.202244423003322,Happy
15.357574786410668,13.393136865371945,23.918699671304978,17.443854441823195,2.6865388068466594,Angry
17.328793807686747,4.416862551419025,23.19962717646102,22.702451013616294,3.2731125111334545,Tired
17.07474223946574,11.053137666662513,27.898927720852793,24.540691567302197,1.4791998084382758,Happy
17.887762220672656,12.976387146498253,9.001020565639864,11.122766960611283,7.649598578983842,Tired
10.86573160212499,5.682548832886675,25.02002779836195,4.09011402417214,9.13171910908147,Happy
12.257292091304366,2.0338452301687022,14.301053577983039,1.183401178572554,1.3649652913118864,Angry
0.7095993402440255,12.61724097209821,22.96817407146952,21.672135364724376,3.0556353802571863,Happy
